,trazoA,trazoB,trazoC,ValorMulta
0,1,0,0,0
1,2,4,5,300
2,2,4,5,300
3,1,0,0,0
4,2,3,5,300
5,2,3,5,600
6,1,0,0,0
7,2,3,5,0
8,1,0,0,0
9,1,0,0,0
10,1,0,0,0
11,1,0,0,0
12,2,4,5,0
13,1,0,0,0
14,2,3,5,600
15,1,0,0,0
16,1,0,0,0
17,1,0,0,0
18,1,0,0,0
19,1,0,0,0
20,1,0,0,0
21,1,0,0,0
22,2,3,5,600
23,1,0,0,0
24,1,0,0,0
25,2,3,5,0
26,1,0,0,0
27,1,0,0,0
28,2,3,5,300
29,1,0,0,0
30,2,4,5,300
31,2,3,5,300
32,2,3,5,600
33,2,3,5,300
34,1,0,0,0
35,2,4,5,600
36,1,0,0,0
37,1,0,0,0
38,1,0,0,0
39,2,4,5,300
40,2,3,5,300
41,1,0,0,0
42,2,4,5,0
43,1,0,0,0
44,2,4,5,0
45,2,4,5,0
46,1,0,0,0
47,2,3,5,0
48,1,0,0,0
49,2,3,5,0
50,2,3,5,0
51,1,0,0,0
52,2,4,5,0
53,1,0,0,0
54,2,3,5,0
55,1,0,0,0
56,1,0,0,0
57,2,3,5,600
58,1,0,0,0
59,1,0,0,0
60,2,3,5,0
61,1,0,0,0
62,2,3,5,300
63,2,4,5,300
64,1,0,0,0
65,2,4,5,300
66,2,3,5,300
67,1,0,0,0
68,1,0,0,0
69,2,4,5,300
70,2,4,5,300
71,1,0,0,0
72,2,4,5,300
73,2,4,5,0
74,2,4,5,300
75,2,4,5,300
76,1,0,0,0
77,1,0,0,0
78,1,0,0,0
79,2,4,5,0
80,1,0,0,0
81,1,0,0,0
82,2,4,5,300
83,2,4,5,0
84,1,0,0,0
85,2,3,5,300
86,1,0,0,0
87,1,0,0,0
88,1,0,0,0
89,2,4,5,0
90,2,3,5,600
91,2,3,5,300
92,1,0,0,0
93,2,4,5,0
94,2,3,5,300
95,2,4,5,0
96,2,4,5,300
97,2,4,5,300
98,1,0,0,0
99,1,0,0,0
100,2,4,5,0
101,1,0,0,0
102,2,4,5,300
103,1,0,0,0
104,2,4,5,0
105,1,0,0,0
106,1,0,0,0
107,2,3,5,0
108,2,4,5,0
109,2,3,5,0
110,1,0,0,0
111,1,0,0,0
112,2,3,5,300
113,2,4,5,300
114,1,0,0,0
115,2,3,5,300
116,2,4,5,300
117,1,0,0,0
118,2,4,5,300
119,2,3,5,300
120,2,3,5,300
121,1,0,0,0
122,1,0,0,0
123,1,0,0,0
124,2,3,5,0
125,2,3,5,300
126,2,3,5,300
127,2,3,5,0
128,1,0,0,0
129,2,4,5,300
130,2,4,5,0
131,2,3,5,0
132,2,3,5,600
133,1,0,0,0
134,2,3,5,0
135,2,4,5,0
136,1,0,0,0
137,2,4,5,0
138,2,3,5,300
139,2,3,5,300
140,2,4,5,300
141,2,3,5,600
142,1,0,0,0
143,2,3,5,300
144,1,0,0,0
145,1,0,0,0
146,2,3,5,0
147,2,4,5,0
148,1,0,0,0
149,1,0,0,0
150,1,0,0,0
151,2,4,5,300
152,1,0,0,0
153,2,3,5,600
154,2,4,5,0
155,2,4,5,0
156,1,0,0,0
157,2,3,5,0
158,2,4,5,0
159,2,3,5,300
160,2,4,5,0
161,2,3,5,600
162,1,0,0,0
163,2,4,5,300
164,1,0,0,0
165,1,0,0,0
166,1,0,0,0
167,1,0,0,0
168,1,0,0,0
169,2,3,5,0
170,2,3,5,0
171,1,0,0,0
172,1,0,0,0
173,1,0,0,0
174,2,4,5,300
175,2,3,5,600
176,2,4,5,0
177,1,0,0,0
178,2,3,5,600
179,2,4,5,0
180,1,0,0,0
181,2,3,5,300
182,1,0,0,0
183,2,4,5,300
184,2,3,5,300
185,1,0,0,0
186,1,0,0,0
187,2,4,5,0
188,2,4,5,300
189,1,0,0,0
190,2,3,5,900
191,1,0,0,0
192,1,0,0,0
193,2,3,5,300
194,2,3,5,600
195,2,3,5,300
196,2,3,5,0
197,2,3,5,600
198,1,0,0,0
199,1,0,0,0
200,2,4,5,300
